player,nation,position,team,age,90s,touches,deffensive_touches,middle_touches,attacking_touches,attempted_take_ons,successful_take_ons,takeons_tackled,carries,total_distance_carried,received,Annual
Max Aarons,ENG,DF,Bournemouth,25.0,1.0,73,19,40,15,2,0,1,41,152,40,2222679
Joshua Acheampong,ENG,DF,Chelsea,19.0,1.9,137,48,81,8,2,1,0,106,709,111,299000
Tyler Adams,USA,MF,Bournemouth,26.0,20.8,1279,338,741,214,17,3,10,622,3119,718,3810307
Tosin Adarabioyo,ENG,DF,Chelsea,27.0,14.7,1255,596,633,27,5,4,0,733,2991,948,7620614
Simon Adingra,CIV,"FW,MF",Brighton,23.0,11.7,529,66,168,302,49,21,27,356,2460,372,793814
Emmanuel Agbadou,CIV,DF,Wolves,27.0,14.7,1122,616,487,27,12,9,2,730,3549,771,3141339
Asher Agbinone,ENG,MF,Crystal Palace,19.0,0.1,8,0,2,6,2,0,1,5,53,5,0
Ola Aina,NGA,DF,Nott'ham Forest,28.0,32.4,1652,597,698,387,69,32,25,728,4674,790,2540205
Rayan Aït-Nouri,ALG,DF,Wolves,23.0,33.8,2092,560,900,661,137,63,56,1098,6074,1286,635051
Kristoffer Ajer,NOR,DF,Brentford,27.0,15.9,788,264,364,166,16,7,8,383,2083,487,2540205
Manuel Akanji,SUI,DF,Manchester City,29.0,21.4,1818,537,882,402,2,2,0,1209,6575,1435,11430921
Nathan Aké,NED,DF,Manchester City,30.0,7.5,596,205,331,61,1,1,0,403,2244,449,10160818
Carlos Alcaraz,ARG,MF,Southampton,22.0,0.1,17,1,8,9,2,0,2,12,112,12,1396151
Carlos Alcaraz,ARG,"FW,MF",Everton,22.0,7.7,352,57,159,145,17,9,6,200,1224,231,1396151
Trent Alexander-Arnold,ENG,DF,Liverpool,26.0,25.8,2193,582,987,638,35,16,17,1151,5264,1397,11430921
Alisson,BRA,GK,Liverpool,32.0,26.9,968,951,17,0,1,1,0,630,2515,594,9525767
Miguel Almirón,PAR,FW,Newcastle Utd,31.0,1.7,81,10,35,36,2,1,1,54,284,59,3810307
Edson Álvarez,MEX,MF,West Ham,27.0,18.8,1161,347,635,188,33,14,14,637,3560,775,6350511
Will Alves,ENG,FW,Leicester City,20.0,0.0,1,0,0,1,0,0,0,1,5,1,0
Harry Amass,ENG,DF,Manchester Utd,18.0,3.8,250,82,88,84,8,3,4,132,705,124,349038
Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,18.0,0.3,16,5,5,7,4,0,3,11,98,11,317526
Mathis Amougou,FRA,MF,Chelsea,19.0,0.1,9,2,4,3,0,0,0,7,25,6,0
Joachim Andersen,DEN,DF,Crystal Palace,28.0,1.0,93,38,50,5,0,0,0,49,189,67,5715460
Joachim Andersen,DEN,DF,Fulham,28.0,27.7,2248,1165,993,102,6,4,0,1308,6377,1553,5715460
Elliot Anderson,ENG,MF,Nott'ham Forest,22.0,29.3,1767,418,852,527,75,36,30,906,4907,1049,2540205
André,BRA,MF,Wolves,23.0,26.5,1571,425,1018,145,30,15,11,876,3593,1054,2222679
Michail Antonio,JAM,FW,West Ham,35.0,9.3,296,26,124,151,27,9,13,173,1177,221,5397935
Antony,BRA,"DF,MF",Manchester Utd,25.0,1.6,101,22,26,54,11,4,6,60,317,69,12701023
Julian Araujo,MEX,DF,Bournemouth,23.0,5.5,275,90,136,55,1,0,1,126,482,149,1587628
Cameron Archer,ENG,FW,Southampton,23.0,15.9,385,63,174,152,36,15,19,223,1167,269,2540205
Alphonse Areola,FRA,GK,West Ham,32.0,25.1,1049,1038,12,0,0,0,0,601,2480,555,7620614
Joe Aribo,NGA,"MF,DF",Southampton,28.0,22.4,1271,313,670,299,49,21,22,745,4068,925,4445358
Adam Armstrong,ENG,"FW,MF",Southampton,28.0,13.9,377,44,143,192,14,6,8,235,1324,286,3810307
Harrison Armstrong,ENG,MF,Everton,18.0,0.5,20,3,12,7,1,1,0,15,110,14,0
Kepa Arrizabalaga,ESP,GK,Bournemouth,30.0,30.0,1057,1028,28,1,1,1,0,599,2979,468,4762884
Marco Asensio,ESP,MF,Aston Villa,29.0,7.8,374,35,154,194,19,12,5,233,1407,257,8132578
Brandon Austin,ENG,GK,Tottenham,26.0,1.0,36,36,0,0,0,0,0,22,104,16,952577
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,27.0,4.6,167,16,78,74,9,4,5,90,402,113,3175256
Yasin Ayari,SWE,MF,Brighton,21.0,21.3,1206,269,612,345,45,18,18,643,3196,782,508041
Jordan Ayew,GHA,"FW,MF",Crystal Palace,33.0,0.2,12,0,7,5,0,0,0,6,25,9,1905153
Jordan Ayew,GHA,"FW,MF",Leicester City,33.0,17.2,760,100,390,294,60,24,30,456,3126,510,1905153
Benoît Badiashile,FRA,DF,Chelsea,24.0,3.7,336,138,186,13,1,0,1,177,660,247,5715460
Leon Bailey,JAM,"FW,MF",Aston Villa,27.0,12.7,545,77,155,323,57,22,24,348,2582,390,7620614
Carlos Baleba,CMR,MF,Brighton,21.0,28.6,1652,405,967,323,55,32,20,951,5512,1006,793814
Ross Barkley,ENG,MF,Aston Villa,31.0,6.4,454,73,269,118,12,9,3,270,1470,322,3587999
Harvey Barnes,ENG,FW,Newcastle Utd,27.0,18.5,778,96,246,442,63,24,32,538,4084,620,5080409
Calvin Bassey,NGA,DF,Fulham,25.0,34.2,2463,1205,1151,132,33,15,11,1571,8212,1716,2857730
Altay Bayındır,TUR,GK,Manchester Utd,27.0,3.0,141,139,2,0,0,0,0,97,383,91,2222679
