Player,Nation,Position,Team,Age,Weekly,Annual
Kevin De Bruyne,BEL,"MF,FW",Manchester City,33.0,488501,25402046
Erling Haaland,NOR,FW,Manchester City,24.0,457970,23814418
Casemiro,BRA,MF,Manchester Utd,32.0,427438,22226790
Mohamed Salah,EGY,FW,Liverpool,32.0,427438,22226790
Omar Marmoush,EGY,"FW,MF",Manchester City,25.0,396024,20593224
Bruno Fernandes,POR,MF,Manchester Utd,29.0,366376,19051534
Marcus Rashford,ENG,"FW,MF",Manchester Utd,26.0,366376,19051534
Bernardo Silva,POR,"MF,FW",Manchester City,29.0,366376,19051534
Jack Grealish,ENG,"FW,MF",Manchester City,28.0,366376,19051534
Kai Havertz,GER,"FW,MF",Arsenal,25.0,341951,17781432
Gabriel Jesus,BRA,FW,Arsenal,27.0,323632,16828855
Reece James,ENG,"DF,MF",Chelsea,24.0,305313,15876279
Mason Mount,ENG,MF,Manchester Utd,25.0,305313,15876279
John Stones,ENG,"DF,MF",Manchester City,30.0,305313,15876279
Declan Rice,ENG,MF,Arsenal,25.0,293101,15241227
Martin Ødegaard,NOR,MF,Arsenal,25.0,293101,15241227
İlkay Gündoğan,GER,MF,Manchester City,33.0,280888,14606176
Phil Foden,ENG,"MF,FW",Manchester City,24.0,274782,14288651
Virgil van Dijk,NED,DF,Liverpool,33.0,268675,13971125
Rodri,ESP,MF,Manchester City,28.0,268675,13971125
Joško Gvardiol,CRO,DF,Manchester City,22.0,244250,12701023
Wesley Fofana,FRA,DF,Chelsea,23.0,244250,12701023
Thomas Partey,GHA,"MF,DF",Arsenal,31.0,244250,12701023
Antony,BRA,"DF,MF",Manchester Utd,24.0,244250,12701023
Matthijs de Ligt,NED,DF,Manchester Utd,24.0,238144,12383497
Christopher Nkunku,FRA,FW,Chelsea,26.0,238144,12383497
Bukayo Saka,ENG,"FW,MF",Arsenal,22.0,238144,12383497
William Saliba,FRA,DF,Arsenal,23.0,232038,12065972
Harry Maguire,ENG,DF,Manchester Utd,31.0,232038,12065972
Son Heung-min,KOR,FW,Tottenham,32.0,232038,12065972
Rúben Dias,POR,DF,Manchester City,27.0,219825,11430921
Enzo Fernández,ARG,MF,Chelsea,23.0,219825,11430921
Trent Alexander-Arnold,ENG,DF,Liverpool,25.0,219825,11430921
Manuel Akanji,SUI,DF,Manchester City,29.0,219825,11430921
Gabriel Martinelli,BRA,"FW,MF",Arsenal,23.0,219825,11430921
Kyle Walker,ENG,DF,Manchester City,34.0,213719,11113395
Marc Cucurella,ESP,DF,Chelsea,26.0,213719,11113395
James Maddison,ENG,MF,Tottenham,27.0,207613,10795869
Cristian Romero,ARG,DF,Tottenham,26.0,201507,10478344
Timo Werner,GER,"FW,MF",Tottenham,28.0,201507,10478344
Kalvin Phillips,ENG,MF,Ipswich Town,28.0,201368,10471131
Bruno Guimarães,BRA,MF,Newcastle Utd,26.0,195400,10160818
Nathan Aké,NED,DF,Manchester City,29.0,195400,10160818
Pedro Neto,POR,FW,Chelsea,24.0,195400,10160818
Andrew Robertson,SCO,DF,Liverpool,30.0,195400,10160818
Donyell Malen,NED,FW,Aston Villa,25.0,187943,9773056
Oleksandr Zinchenko,UKR,"DF,MF",Arsenal,27.0,183188,9525767
Christian Eriksen,DEN,MF,Manchester Utd,32.0,183188,9525767
Ben White,ENG,DF,Arsenal,26.0,183188,9525767
Moisés Caicedo,ECU,"MF,DF",Chelsea,22.0,183188,9525767
Mateo Kovačić,CRO,MF,Manchester City,30.0,183188,9525767
Lloyd Kelly,ENG,DF,Newcastle Utd,25.0,183188,9525767
Joelinton,BRA,"MF,FW",Newcastle Utd,27.0,183188,9525767
Anthony Gordon,ENG,"FW,MF",Newcastle Utd,23.0,183188,9525767
Youri Tielemans,BEL,MF,Aston Villa,27.0,183188,9525767
Emiliano Martínez,ARG,GK,Aston Villa,31.0,183188,9525767
Boubacar Kamara,FRA,MF,Aston Villa,24.0,183188,9525767
Ryan Gravenberch,NED,MF,Liverpool,22.0,183188,9525767
Federico Chiesa,ITA,FW,Liverpool,26.0,183188,9525767
Alisson,BRA,GK,Liverpool,31.0,183188,9525767
Alexis Mac Allister,ARG,MF,Liverpool,25.0,183188,9525767
Lucas Paquetá,BRA,"MF,FW",West Ham,26.0,183188,9525767
Jarrod Bowen,ENG,"FW,MF",West Ham,27.0,183188,9525767
Luke Shaw,ENG,DF,Manchester Utd,29.0,183188,9525767
Jadon Sancho,ENG,LW,Manchester Utd,24.0,183188,9525767
Jamie Vardy,ENG,FW,Leicester City,37.0,170975,8890716
Amadou Onana,BEL,MF,Aston Villa,22.0,170975,8890716
Diogo Jota,POR,FW,Liverpool,27.0,170975,8890716
Darwin Núñez,URU,FW,Liverpool,25.0,170975,8890716
Noussair Mazraoui,MAR,DF,Manchester Utd,26.0,164869,8573190
Mikel Merino,ESP,"MF,FW",Arsenal,28.0,158763,8255665
Ollie Watkins,ENG,FW,Aston Villa,28.0,158763,8255665
Matheus Nunes,POR,"DF,MF",Manchester City,25.0,158763,8255665
Cole Palmer,ENG,MF,Chelsea,22.0,158763,8255665
João Félix,POR,"FW,MF",Chelsea,24.0,158763,8255665
Abdoulaye Doucouré,MLI,MF,Everton,31.0,158763,8255665
Bernd Leno,GER,GK,Fulham,32.0,158763,8255665
Marco Asensio,ESP,MF,Aston Villa,28.0,156396,8132578
James Ward-Prowse,ENG,MF,West Ham,29.0,154382,8027867
Danny Ings,ENG,"FW,MF",West Ham,32.0,152657,7938139
Jordan Pickford,ENG,GK,Everton,30.0,152657,7938139
Raheem Sterling,ENG,"FW,MF",Arsenal,29.0,147670,7678829
Leon Bailey,JAM,"FW,MF",Aston Villa,26.0,146550,7620614
Idrissa Gana Gueye,SEN,MF,Everton,34.0,146550,7620614
Tosin Adarabioyo,ENG,DF,Chelsea,26.0,146550,7620614
Kieran Trippier,ENG,DF,Newcastle Utd,33.0,146550,7620614
Alexander Isak,SWE,FW,Newcastle Utd,24.0,146550,7620614
Lucas Digne,FRA,DF,Aston Villa,31.0,146550,7620614
Sandro Tonali,ITA,MF,Newcastle Utd,24.0,146550,7620614
John McGinn,SCO,"MF,FW",Aston Villa,29.0,146550,7620614
Cody Gakpo,NED,FW,Liverpool,25.0,146550,7620614
Alphonse Areola,FRA,GK,West Ham,31.0,146550,7620614
Aaron Ramsdale,ENG,GK,Southampton,26.0,146550,7620614
Victor Lindelöf,SWE,DF,Manchester Utd,30.0,146550,7620614
Manuel Ugarte,,DM,Manchester Utd,23.0,146550,7620614
Lisandro Martínez,ARG,DF,Manchester Utd,26.0,146550,7620614
André Onana,CMR,GK,Manchester Utd,28.0,146550,7620614
Riccardo Calafiori,ITA,DF,Arsenal,22.0,146550,7620614
Dominik Szoboszlai,HUN,MF,Liverpool,23.0,146550,7620614
Leny Yoro,,CB,Manchester Utd,19.0,140444,7303088
Manuel Ugarte Ribeiro,URU,MF,Manchester Utd,24.0,138000,7175999
Jorginho,ITA,MF,Arsenal,32.0,134338,6985563
Kieran Tierney,SCO,"DF,FW",Arsenal,27.0,134338,6985563
Dejan Kulusevski,SWE,"MF,FW",Tottenham,24.0,134338,6985563
Ben Chilwell,ENG,DF,Crystal Palace,27.0,134245,6980754
Joshua Zirkzee,NED,"FW,MF",Manchester Utd,23.0,128231,6668037
Nikola Milenković,SRB,DF,Nott'ham Forest,26.0,128231,6668037
Daichi Kamada,JPN,MF,Crystal Palace,27.0,128231,6668037
Matt Targett,ENG,DF,Newcastle Utd,28.0,122125,6350511
Reiss Nelson,ENG,FW,Fulham,24.0,122125,6350511
Raúl Jiménez,MEX,FW,Fulham,33.0,122125,6350511
James Tarkowski,ENG,DF,Everton,31.0,122125,6350511
Dominic Calvert-Lewin,ENG,FW,Everton,27.0,122125,6350511
Nicolas Jackson,SEN,FW,Chelsea,23.0,122125,6350511
Mykhailo Mudryk,UKR,FW,Chelsea,23.0,122125,6350511
Levi Colwill,ENG,DF,Chelsea,21.0,122125,6350511
Carney Chukwuemeka,ENG,CM,Chelsea,20.0,122125,6350511
Ederson,BRA,GK,Manchester City,30.0,122125,6350511
Diego Carlos,BRA,DF,Aston Villa,31.0,122125,6350511
Tyrone Mings,ENG,DF,Aston Villa,31.0,122125,6350511
Eberechi Eze,ENG,"MF,FW",Crystal Palace,26.0,122125,6350511
David Raya,ESP,GK,Arsenal,28.0,122125,6350511
Pau Torres,ESP,DF,Aston Villa,27.0,122125,6350511
Takehiro Tomiyasu,JPN,DF,Arsenal,25.0,122125,6350511
Dean Henderson,ENG,GK,Crystal Palace,27.0,122125,6350511
Gabriel Magalhães,BRA,DF,Arsenal,26.0,122125,6350511
Edson Álvarez,MEX,MF,West Ham,26.0,122125,6350511
Max Kilman,ENG,DF,West Ham,27.0,122125,6350511
Ian Maatsen,NED,DF,Aston Villa,22.0,122125,6350511
Willian,BRA,"FW,MF",Fulham,35.0,117817,6126483
Leander Dendoncker,BEL,DM,Aston Villa,29.0,117817,6126483
Emerson Palmieri,ITA,DF,West Ham,29.0,116019,6032986
Harry Winks,ENG,MF,Leicester City,28.0,109913,5715460
Joachim Andersen,DEN,DF,Fulham,28.0,109913,5715460
Jack Harrison,ENG,FW,Everton,27.0,109913,5715460
Benoît Badiashile,FRA,DF,Chelsea,23.0,109913,5715460
Stefan Ortega,GER,GK,Manchester City,31.0,109913,5715460
Sven Botman,NED,DF,Newcastle Utd,24.0,109913,5715460
Odsonne Édouard,FRA,FW,Leicester City,26.0,109913,5715460
Tomáš Souček,CZE,MF,West Ham,29.0,109913,5715460
Pablo Sarabia,ESP,"MF,FW",Wolves,32.0,109913,5715460
Niclas Füllkrug,GER,FW,West Ham,31.0,109913,5715460
Mohammed Kudus,,AM,West Ham,24.0,109913,5715460
Aaron Wan-Bissaka,ENG,DF,West Ham,26.0,109913,5715460
Eddie Nketiah,ENG,"FW,MF",Crystal Palace,25.0,109913,5715460
Richarlison,BRA,FW,Tottenham,27.0,109913,5715460
Dominic Solanke,ENG,FW,Tottenham,26.0,109913,5715460
Leandro Trossard,BEL,FW,Arsenal,29.0,109913,5715460
Gonçalo Guedes,POR,"MF,FW",Wolves,27.0,109913,5715460
Jurriën Timber,NED,DF,Arsenal,23.0,109913,5715460
Mathys Tel,FRA,FW,Tottenham,19.0,107396,5584603
Ferdi Kadioglu,TUR,"DF,MF",Brighton,24.0,106860,5556698
Michail Antonio,JAM,FW,West Ham,34.0,103806,5397935
Joe Gomez,ENG,DF,Liverpool,27.0,103806,5397935
Radu Drăgușin,ROU,DF,Tottenham,22.0,103806,5397935
Evanilson,BRA,FW,Bournemouth,24.0,103806,5397935
Pedro Porro,ESP,DF,Tottenham,24.0,103806,5397935
Rasmus Højlund,DEN,FW,Manchester Utd,21.0,103806,5397935
Diogo Dalot,POR,DF,Manchester Utd,25.0,103806,5397935
Ben Godfrey,ENG,DF,Ipswich Town,26.0,100684,5235566
Kaoru Mitoma,JPN,"FW,MF",Brighton,27.0,97700,5080409
Alex Iwobi,NGA,"FW,MF",Fulham,28.0,97700,5080409
Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24.0,97700,5080409
Chris Wood,NZL,FW,Nott'ham Forest,32.0,97700,5080409
Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,23.0,97700,5080409
Michael Keane,ENG,DF,Everton,31.0,97700,5080409
Lewis Dunk,ENG,DF,Brighton,32.0,97700,5080409
Boubakary Soumaré,FRA,MF,Leicester City,25.0,97700,5080409
Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,25.0,97700,5080409
Harvey Barnes,ENG,FW,Newcastle Utd,26.0,97700,5080409
Ricardo Pereira,POR,DF,Leicester City,30.0,97700,5080409
Nélson Semedo,POR,DF,Wolves,30.0,97700,5080409
Matty Cash,POL,DF,Aston Villa,26.0,97700,5080409
Carlos Soler,ESP,"MF,FW",West Ham,27.0,97700,5080409
Justin Kluivert,NED,"MF,FW",Bournemouth,25.0,97700,5080409
Ben Davies,WAL,DF,Tottenham,31.0,97700,5080409
Joe Willock,ENG,"MF,FW",Newcastle Utd,24.0,97700,5080409
Mason Holgate,ENG,"FW,DF",Everton,27.0,91635,4765042
Patson Daka,ZAM,"FW,MF",Leicester City,25.0,91594,4762884
Morgan Rogers,ENG,"FW,MF",Aston Villa,22.0,91594,4762884
Conor Coady,ENG,DF,Leicester City,31.0,91594,4762884
Ezri Konsa,ENG,DF,Aston Villa,26.0,91594,4762884
Wilfred Ndidi,NGA,MF,Leicester City,27.0,91594,4762884
Georginio Rutter,FRA,"MF,FW",Brighton,22.0,91594,4762884
